ردیف,نوع نقاط,نام استان,نام شهرستان,نام محل,Type,عرض جغرافی (Latitude),طول جغرافی (Longitude),آدرس
433,پیشنهادی استان ها,مازندران,بابل,دانشکده فنی و مهندسی,University, 36.561177°, 52.680742°,خيابان شريعتي 
434,پیشنهادی استان ها,مازندران,بابل,دانشکده تربیت معلم,University, 36.565171°, 52.691698°,كمربندي شرقي - گلستان 7
435,پیشنهادی استان ها,آذربایجان شرقی,تبریز,دانشگاه تبریز,University, 38.061833°, 46.328473°,
436,پیشنهادی استان ها,آذربایجان شرقی,تبریز,دانشگاه آزاد,University, 38.043413°, 46.387101°,
437,پیشنهادی استان ها,آذربایجان شرقی,تبریز,دانشگاه علوم پزشکی,University, 38.058561°, 46.327587°,
444,پیشنهادی استان ها,همدان,همدان,دانشگاه بوعلی سینا,University,34.7894,48.4892,چهار راه پارک مردم
469,پیشنهادی استان ها,آذربایجان شرقی,تبریز,آموزشکده فنی و حرفه ای,University, 38.043481°, 46.266232°,
481,پیشنهادی استان ها,فارس,شیراز,دانشکده پزشکی,University,29.6258516763,52.5304402578,فارس - شیراز میدان ستاد
482,پیشنهادی استان ها,فارس,شیراز,دانشکده داروسازی,University,29.635945,52.514109,فارس - شیراز ابیوردی
483,پیشنهادی استان ها,فارس,شیراز,دانشکده دندانپزشکی,University,29.646186,52.494603,فارس - شیراز قم اباد
484,پیشنهادی استان ها,فارس,شیراز,دانشکده بهداشت,University,29.591768,52.583698,فارس - شیراز دروازه کازرون
485,پیشنهادی استان ها,فارس,شیراز,دانشکده تغذیه و علوم غذایی,University,29.626586,52.539474,فارس - شیراز خیابان مشکین فام
486,پیشنهادی استان ها,فارس,شیراز,دانشکده پرستاری و مامایی حضرت فاطمه(س),University,29.63137,52.51819,فارس - شیراز میدان نمازی
487,پیشنهادی استان ها,فارس,شیراز,دانشکده علوم توانبخشی,University,29.635945,52.514109,افارس - شیراز بیوردی یک
488,پیشنهادی استان ها,فارس,شیراز,دانشکده پیراپزشکی,University,29.62609,52.540564,فارس - شیراز خیابان مشکین فام
489,پیشنهادی استان ها,فارس,شیراز,دانشکده مدیریت و اطلاع رسانی,University,29.624075,52.5176,فارس - شیراز خیابان قصرالدشت - بين خيابان فلسطين و ملاصدرا
490,پیشنهادی استان ها,فارس,شیراز,دانشکده علوم و فناوریهای نوین پزشکی,University,29.627414,52.530736,فارس - شیراز خيابان نشاط - روبروي سالن سينا و صدرا
491,پیشنهادی استان ها,فارس,شیراز,"دانشکده علوم ,کشاورزی و فناوری های نوین",University,29.763083,52.481633,فارس - شیراز پردیس صدرا
492,پیشنهادی استان ها,فارس,شیراز, دانشکده هنر و معماری,University,29.793114,52.509617,فارس - شیراز شهرک صدرا
493,پیشنهادی استان ها,فارس,شیراز, دانشکده دندانپزشکی,University,29.612493,52.534611,فارس - شیراز خیابان قاانی کهنه
494,پیشنهادی استان ها,فارس,شیراز, دانشکده اقتصاد و مدیریت,University,29.763083,52.481633,فارس - شیراز پردیس صدرا
495,پیشنهادی استان ها,فارس,شیراز, دانشکده حقوق و علوم انسانی,University,29.763083,52.481633,فارس - شیراز پردیس صدرا
496,پیشنهادی استان ها,فارس,شیراز,          دانشکده فنی و مهندسی,University,29.763083,52.481633,فارس - شیراز پردیس صدرا
497,پیشنهادی استان ها,فارس,شیراز,دانشکده هنر و معماری,University,29.682069,52.458553,فارس - شیراز معالی اباد
498,پیشنهادی استان ها,فارس,شیراز,دانشکده مهندسی مکانیک,University,29.627414,52.518117,فارس - شیراز ملاصدرا
499,پیشنهادی استان ها,فارس,شیراز,دانشکده دامپزشکی,University,29.722235,52.597362,فارس - شیراز باجگاه
500,پیشنهادی استان ها,فارس,شیراز,دانشکده مهندسی برق و کامپیوتر,University,29.627414,52.518117,فارس - شیراز ملاصدرا
501,پیشنهادی استان ها,فارس,شیراز,دانشکده کشاورزی,University,29.725538,52.589335,فارس - شیراز باجگاه
502,پیشنهادی استان ها,فارس,شیراز,دانشگاه پیام نور,University,29.771507,52.399504,فارس - شیراز شهرک گلستان
503,پیشنهادی استان ها,فارس,شیراز,دانشگاه صنعتی شیراز,University,29.582527,52.581033,فارس - شیراز بلوارمدرس
504,پیشنهادی استان ها,خراسان رضوی,مشهد,دانشگاه ادبیات,University,36.306858,59.53342,دانشگاه
505,پیشنهادی استان ها,همدان,همدان,دانشگاه آزاد,University,34.8447,48.5601,شهرک مدنی -حسن اباد
518,پیشنهادی استان ها,هرمزگان,بندر عباس,دانشگاه علوم پزشکی/پرستاری,University,27.192832,56.341024,بندر عباس  خیابان رسالت جنوبی دانشکده پرستاری
520,پیشنهادی استان ها,هرمزگان,بندر عباس,دانشگاه پیام نور,University,27.171389,56.248759,بندر عباس خیابان امام خمینی نرسیده به سه راه جهانبار دانشگاه پیام نور
521,پیشنهادی استان ها,آذربایجان شرقی,تبریز,دانشگاه  نبی اکرم,University, 38.073355°, 46.243514°,
527,پیشنهادی استان ها,کردستان,سنندج,دانشگاه کردستان,University,35.27857,47.00001,سنندج - دانشگاه کردستان
528,پیشنهادی استان ها,کردستان,سنندج,دانشگاه آزاد واحد مرکزی سنندج,University,35.30296,47.00243,سنندج - سه راه ادب - دانشگاه آزاد واحد مرکزی سنندج
529,پیشنهادی استان ها,کردستان,سنندج,دانشگاه پیام نور,University,35.27452,46.99522,سنندج - دانشگاه پیام نور
530,پیشنهادی استان ها,کردستان,سنندج,دانشکده ادبیات دانشگاه آزاد سنندج,University,35.297555,46.987555,سنندج - شهرک سعدی - دانشکده ادبیات دانشگاه آزاد سنندج
531,پیشنهادی استان ها,فارس,شیراز,دانشگاه علمی کاربردی ITI,University,29.566295,52.612616,فارس - شیراز بلوار مدرس - خیابان بریجستون
532,پیشنهادی استان ها,فارس,شیراز,دانشگاه علمی کاربردی ITMC,University,29.594343,52.571471,فارس - شیراز بلوارمدرس
540,پیشنهادی استان ها,کرمانشاه,کرمانشاه,دانشگاه رازی ,University,34.38948,47.11431,کرمانشاه - باغ ابریشم - دانشگاه رازی
541,پیشنهادی استان ها,کرمانشاه,کرمانشاه,دانشگاه سما (گلشن),University,34.36518,47.08146,کرمانشاه - شهرک الهیه - مقابل سردخانه بنشن- 2 متری نهالستان-کوچه دوازدهم -منزل شمالی خانم صولتی
